Year,Category,Amount,Type
2018,Healthcare,39357489,Expense
2000,Healthcare,21386188,Expense
2012,Education,20388614,Expense
2008,Natural Resources,2347767,Revenue
2020,Social Welfare,46133164,Expense
2014,Social Welfare,12319121,Expense
2016,Grants,5015765,Revenue
2021,Healthcare,27015747,Expense
2018,Infrastructure,36152598,Expense
2013,Education,42762081,Expense
2003,Education,3636631,Expense
2019,Grants,7154277,Revenue
2005,Healthcare,28130094,Expense
2019,Tax Revenue,36443510,Revenue
2019,Healthcare,31114219,Expense
2018,Foreign Aid,49605646,Revenue
2016,Education,36213261,Expense
2020,Healthcare,40494170,Expense
2010,Natural Resources,11073634,Revenue
2011,Foreign Aid,40764791,Revenue
2014,Tax Revenue,35717538,Revenue
2013,Education,46762629,Expense
2013,Healthcare,44101230,Expense
2018,Foreign Aid,7102657,Revenue
2000,Tax Revenue,3279432,Revenue
2004,Foreign Aid,42930160,Revenue
2019,Social Welfare,36277803,Expense
2015,Social Welfare,9495157,Expense
2023,Foreign Aid,37348004,Revenue
2000,Tax Revenue,6885653,Revenue
2011,Healthcare,47804442,Expense
2014,Education,45077151,Expense
2009,Education,26104485,Expense
2010,Defense,44294789,Expense
2021,Foreign Aid,8956733,Revenue
2010,Grants,43952915,Revenue
2021,Natural Resources,34492260,Revenue
2009,Healthcare,18109249,Expense
2003,Foreign Aid,39681421,Revenue
2014,Social Welfare,32010737,Expense
2021,Infrastructure,31798813,Expense
2014,Foreign Aid,40640040,Revenue
2000,Foreign Aid,28421169,Revenue
2017,Foreign Aid,2493770,Revenue
2017,Tax Revenue,4195511,Revenue
2007,Education,5139455,Expense
2020,Tax Revenue,13441751,Revenue
2011,Tax Revenue,6163261,Revenue
2008,Healthcare,27754871,Expense
2021,Education,20524459,Expense
2023,Social Welfare,40239738,Expense
2000,Natural Resources,1511268,Revenue
2006,Foreign Aid,13374392,Revenue
2023,Infrastructure,47548277,Expense
2001,Grants,11430888,Revenue
2011,Natural Resources,40803666,Revenue
2022,Social Welfare,47121832,Expense
2003,Infrastructure,29206375,Expense
2012,Defense,41008241,Expense
2011,Healthcare,23739543,Expense
2017,Foreign Aid,15849054,Revenue
2013,Grants,7255226,Revenue
2006,Social Welfare,41610007,Expense
2000,Foreign Aid,41603222,Revenue
2000,Tax Revenue,17394409,Revenue
2017,Social Welfare,10895400,Expense
2015,Grants,26941291,Revenue
2000,Infrastructure,29992756,Expense
2020,Education,5095484,Expense
2000,Infrastructure,29808143,Expense
2008,Healthcare,40043351,Expense
2002,Social Welfare,36597228,Expense
2022,Infrastructure,39816765,Expense
2016,Foreign Aid,32145833,Revenue
2019,Healthcare,2466953,Expense
2014,Grants,6604483,Revenue
2018,Defense,6553988,Expense
2021,Social Welfare,18722054,Expense
2006,Foreign Aid,20169331,Revenue
2011,Healthcare,16131138,Expense
2002,Foreign Aid,42513953,Revenue
2001,Healthcare,49085165,Expense
2012,Social Welfare,45246689,Expense
2022,Natural Resources,49075123,Revenue
2003,Healthcare,36149261,Expense
2007,Healthcare,37890260,Expense
2016,Education,49260080,Expense
2020,Foreign Aid,3959907,Revenue
2008,Grants,40040564,Revenue
2009,Healthcare,10609486,Expense
2011,Foreign Aid,1913147,Revenue
2015,Infrastructure,15905144,Expense
2010,Tax Revenue,26715954,Revenue
2012,Healthcare,12781102,Expense
2010,Defense,18287776,Expense
2000,Defense,45232558,Expense
2012,Tax Revenue,35177469,Revenue
2003,Natural Resources,33278171,Revenue
2006,Foreign Aid,31337174,Revenue
2002,Education,15276174,Expense
2019,Infrastructure,27745934,Expense
2005,Foreign Aid,2971306,Revenue
2020,Natural Resources,9010752,Revenue
2016,Grants,45618741,Revenue
2008,Education,41459492,Expense
2023,Defense,3749825,Expense
2023,Healthcare,45672743,Expense
2000,Tax Revenue,22914905,Revenue
2013,Foreign Aid,33990574,Revenue
2006,Social Welfare,1350962,Expense
2009,Natural Resources,1139445,Revenue
2008,Grants,18201061,Revenue
2021,Infrastructure,14665949,Expense
2020,Defense,7766780,Expense
2006,Natural Resources,20054396,Revenue
2007,Defense,40038689,Expense
2022,Grants,27463420,Revenue
2004,Infrastructure,36334373,Expense
2005,Natural Resources,44205605,Revenue
2007,Tax Revenue,9941052,Revenue
2006,Grants,49166772,Revenue
2018,Natural Resources,31231384,Revenue
2000,Education,30348516,Expense
2022,Social Welfare,27690156,Expense
2015,Tax Revenue,49929515,Revenue
2010,Healthcare,3721225,Expense
2005,Education,35952413,Expense
2000,Social Welfare,33593760,Expense
2001,Grants,35761007,Revenue
2017,Grants,13071501,Revenue
2010,Infrastructure,20016158,Expense
2010,Defense,46958289,Expense
2021,Defense,15243379,Expense
2023,Healthcare,26956050,Expense
2012,Tax Revenue,47357918,Revenue
2004,Defense,25113725,Expense
2021,Natural Resources,47338225,Revenue
2000,Social Welfare,43385207,Expense
2000,Defense,3167222,Expense
2007,Grants,34649719,Revenue
2019,Infrastructure,39691414,Expense
2007,Grants,30122428,Revenue
2000,Defense,26501031,Expense
2000,Defense,32843935,Expense
2011,Foreign Aid,27579370,Revenue
2016,Defense,40650279,Expense
2001,Social Welfare,43404595,Expense
2012,Grants,14543205,Revenue
2000,Defense,43475176,Expense
2021,Education,24163533,Expense
2020,Defense,27666831,Expense
2007,Tax Revenue,30348535,Revenue
2008,Infrastructure,32108978,Expense
2020,Foreign Aid,13767399,Revenue
2020,Education,41380543,Expense
2018,Infrastructure,35068587,Expense
2008,Healthcare,47072489,Expense
2004,Infrastructure,42357630,Expense
2021,Social Welfare,6131857,Expense
2021,Natural Resources,21093197,Revenue
2003,Education,13276529,Expense
2010,Social Welfare,44898338,Expense
2019,Natural Resources,39748925,Revenue
2002,Defense,31866264,Expense
2005,Education,13747594,Expense
2019,Natural Resources,42526140,Revenue
2009,Grants,32707428,Revenue
2005,Foreign Aid,43150570,Revenue
2014,Foreign Aid,10215393,Revenue
2006,Foreign Aid,27841421,Revenue
2023,Grants,33404875,Revenue
2010,Social Welfare,44811649,Expense
2017,Grants,5809241,Revenue
2003,Grants,3520016,Revenue
2017,Natural Resources,24317624,Revenue
2018,Grants,33731003,Revenue
2001,Healthcare,18289745,Expense
2021,Foreign Aid,36425694,Revenue
2021,Healthcare,49143055,Expense
2014,Defense,30680810,Expense
2013,Foreign Aid,45067621,Revenue
2016,Infrastructure,47178243,Expense
2019,Infrastructure,42749629,Expense
2015,Foreign Aid,2466938,Revenue
2017,Grants,2101014,Revenue
2002,Education,33412770,Expense
2001,Infrastructure,14458599,Expense
2020,Foreign Aid,7716338,Revenue
2018,Healthcare,11502207,Expense
2009,Grants,9544259,Revenue
2020,Healthcare,25297354,Expense
2015,Social Welfare,30633942,Expense
2019,Natural Resources,26065689,Revenue
2016,Grants,5418851,Revenue
2001,Healthcare,38403474,Expense
2008,Education,34224100,Expense
2007,Education,43533321,Expense
2014,Healthcare,17475161,Expense
2022,Infrastructure,46721643,Expense
2015,Healthcare,26256544,Expense
2015,Foreign Aid,46954032,Revenue
2006,Foreign Aid,20396812,Revenue
2020,Education,35911753,Expense
2012,Social Welfare,12627519,Expense
2012,Defense,34472271,Expense
2001,Social Welfare,25548206,Expense
2014,Healthcare,42601966,Expense
2012,Infrastructure,37758201,Expense
2004,Grants,5477380,Revenue
2011,Healthcare,34244704,Expense
2023,Foreign Aid,44955564,Revenue
2005,Infrastructure,28988724,Expense
2015,Tax Revenue,35511405,Revenue
2016,Foreign Aid,25685635,Revenue
2014,Foreign Aid,5439126,Revenue
2005,Natural Resources,29214569,Revenue
2006,Defense,40163040,Expense
2008,Education,41644325,Expense
2020,Natural Resources,21601396,Revenue
2018,Natural Resources,10882789,Revenue
2008,Grants,1572740,Revenue
2022,Education,46697873,Expense
2002,Natural Resources,21757566,Revenue
2002,Social Welfare,30111133,Expense
2016,Foreign Aid,36790226,Revenue
2001,Social Welfare,17249182,Expense
2021,Grants,21708587,Revenue
2016,Natural Resources,25017914,Revenue
2010,Foreign Aid,38651284,Revenue
2019,Education,5830376,Expense
2012,Social Welfare,25233675,Expense
2004,Healthcare,34362438,Expense
2012,Natural Resources,34341355,Revenue
2004,Healthcare,47517118,Expense
2020,Grants,29991113,Revenue
2013,Defense,6015968,Expense
2010,Foreign Aid,21581465,Revenue
2012,Grants,33724305,Revenue
2010,Education,19283220,Expense
2019,Healthcare,6975244,Expense
2018,Healthcare,2618355,Expense
2014,Social Welfare,7590131,Expense
2002,Natural Resources,44002080,Revenue
2005,Healthcare,34895943,Expense
2016,Grants,28360131,Revenue
2014,Healthcare,12914816,Expense
2016,Education,40948379,Expense
2020,Defense,24463878,Expense
2009,Natural Resources,31667025,Revenue
2017,Natural Resources,33867648,Revenue
2007,Infrastructure,26209785,Expense
2003,Natural Resources,3633241,Revenue
2005,Defense,44765812,Expense
2018,Infrastructure,17673018,Expense
2014,Defense,46914116,Expense
2018,Grants,10028975,Revenue
2011,Natural Resources,1353619,Revenue
2009,Grants,12728041,Revenue
2014,Social Welfare,44327048,Expense
2019,Grants,21319841,Revenue
2021,Healthcare,34000801,Expense
2020,Natural Resources,46788638,Revenue
2020,Education,21413982,Expense
2022,Education,13682255,Expense
2005,Natural Resources,30906186,Revenue
2011,Healthcare,43844390,Expense
2010,Defense,43244065,Expense
2014,Tax Revenue,11594516,Revenue
2014,Social Welfare,27112299,Expense
2018,Defense,28107785,Expense
2014,Grants,46439267,Revenue
2020,Defense,34419616,Expense
2018,Infrastructure,12086137,Expense
2016,Healthcare,45788374,Expense
2001,Grants,39714372,Revenue
2006,Education,22276239,Expense
2002,Foreign Aid,36209603,Revenue
2007,Education,41632604,Expense
2011,Tax Revenue,4453826,Revenue
2006,Healthcare,25565112,Expense
2016,Education,42152339,Expense
2007,Infrastructure,23416972,Expense
2011,Grants,31438198,Revenue
2001,Infrastructure,29541251,Expense
2010,Infrastructure,34026385,Expense
2001,Foreign Aid,12506268,Revenue
2014,Healthcare,7772019,Expense
2021,Infrastructure,41028252,Expense
2023,Education,27904118,Expense
2008,Healthcare,33406432,Expense
2000,Healthcare,5964063,Expense
2001,Social Welfare,27164576,Expense
2010,Infrastructure,42033815,Expense
2015,Natural Resources,28414082,Revenue
2014,Education,28655338,Expense
2012,Foreign Aid,33775639,Revenue
2006,Social Welfare,28571028,Expense
2011,Natural Resources,6714085,Revenue
2002,Education,15470743,Expense
2008,Tax Revenue,15742762,Revenue
2021,Infrastructure,1969518,Expense
2013,Tax Revenue,18011277,Revenue
2014,Social Welfare,6346533,Expense
2005,Defense,38837184,Expense
2004,Social Welfare,6282230,Expense
2014,Defense,12199014,Expense
2007,Natural Resources,10254207,Revenue
2008,Healthcare,24021196,Expense
2005,Grants,31713674,Revenue
2002,Tax Revenue,35273193,Revenue
2017,Defense,12960598,Expense
2006,Social Welfare,45295756,Expense
2023,Foreign Aid,44438533,Revenue
2010,Social Welfare,48048479,Expense
2008,Education,18279627,Expense
2021,Education,15552274,Expense
2008,Tax Revenue,46408523,Revenue
2013,Foreign Aid,14170848,Revenue
2002,Education,25778065,Expense
2001,Healthcare,29381536,Expense
2023,Grants,28155505,Revenue
2016,Grants,40610333,Revenue
2000,Tax Revenue,48945727,Revenue
2005,Natural Resources,19193071,Revenue
2003,Social Welfare,10909851,Expense
2003,Natural Resources,2512116,Revenue
2015,Healthcare,47735408,Expense
2014,Education,29389585,Expense
2007,Infrastructure,1761019,Expense
2008,Defense,4193063,Expense
2020,Natural Resources,15757064,Revenue
2018,Natural Resources,23945761,Revenue
2021,Natural Resources,36154070,Revenue
2017,Grants,26123412,Revenue
2003,Natural Resources,30527118,Revenue
2022,Natural Resources,43075047,Revenue
2012,Tax Revenue,19468894,Revenue
2017,Defense,5501768,Expense
2001,Healthcare,26643513,Expense
2016,Infrastructure,26731363,Expense
2018,Defense,14062025,Expense
2009,Natural Resources,31723084,Revenue
2015,Grants,22393748,Revenue
2007,Foreign Aid,25840820,Revenue
2006,Natural Resources,26825283,Revenue
2006,Education,22752143,Expense
2009,Defense,25515593,Expense
2004,Grants,40348680,Revenue
2002,Natural Resources,19159524,Revenue
2006,Healthcare,49950194,Expense
2001,Natural Resources,46639285,Revenue
2016,Infrastructure,32834671,Expense
2014,Defense,25836549,Expense
2011,Grants,22237200,Revenue
2010,Healthcare,40220882,Expense
2023,Grants,33574241,Revenue
2020,Foreign Aid,6928291,Revenue
2022,Education,30407418,Expense
2017,Tax Revenue,48236824,Revenue
2002,Tax Revenue,3489743,Revenue
2012,Social Welfare,42709826,Expense
2021,Natural Resources,16490959,Revenue
2009,Grants,13540795,Revenue
2005,Natural Resources,44020686,Revenue
2014,Healthcare,1398655,Expense
2014,Natural Resources,38091591,Revenue
2019,Social Welfare,11401268,Expense
2022,Healthcare,48405749,Expense
2012,Defense,40775308,Expense
2006,Defense,1747631,Expense
2007,Foreign Aid,3632931,Revenue
2008,Tax Revenue,2943799,Revenue
2013,Natural Resources,6696374,Revenue
2003,Grants,28355682,Revenue
2018,Defense,36000304,Expense
2007,Infrastructure,47728382,Expense
2004,Natural Resources,29698494,Revenue
2001,Education,35338711,Expense
2018,Grants,35173140,Revenue
2016,Grants,49457202,Revenue
2003,Social Welfare,35222621,Expense
2010,Healthcare,31987146,Expense
2011,Foreign Aid,21106506,Revenue
2011,Natural Resources,27816086,Revenue
2017,Social Welfare,48224222,Expense
2020,Tax Revenue,15885657,Revenue
2020,Natural Resources,38939118,Revenue
2021,Infrastructure,3987878,Expense
2007,Natural Resources,4475666,Revenue
2016,Foreign Aid,9406163,Revenue
2011,Natural Resources,27085910,Revenue
2008,Tax Revenue,48730883,Revenue
2020,Foreign Aid,29058411,Revenue
2015,Healthcare,35772730,Expense
2005,Social Welfare,12088795,Expense
2010,Social Welfare,18910703,Expense
2013,Tax Revenue,38324854,Revenue
2000,Defense,7878062,Expense
2023,Defense,29241556,Expense
2019,Natural Resources,21411593,Revenue
2010,Foreign Aid,41484480,Revenue
2016,Infrastructure,33159893,Expense
2022,Healthcare,3001859,Expense
2000,Natural Resources,14712726,Revenue
2001,Social Welfare,27021988,Expense
2014,Tax Revenue,7137874,Revenue
2017,Tax Revenue,5704829,Revenue
2007,Natural Resources,43374827,Revenue
2003,Natural Resources,12363266,Revenue
2009,Healthcare,1720622,Expense
2000,Grants,4926639,Revenue
2018,Social Welfare,45521657,Expense
2008,Defense,17337780,Expense
2000,Natural Resources,8000592,Revenue
2023,Tax Revenue,42296902,Revenue
2005,Infrastructure,15753139,Expense
2003,Foreign Aid,26208151,Revenue
2012,Grants,42024095,Revenue
2019,Grants,41351150,Revenue
2007,Education,34129476,Expense
2005,Tax Revenue,35176105,Revenue
2001,Education,18475617,Expense
2023,Infrastructure,6252076,Expense
2003,Tax Revenue,30894935,Revenue
2017,Healthcare,4418046,Expense
2003,Foreign Aid,31226340,Revenue
2002,Tax Revenue,21165964,Revenue
2011,Tax Revenue,26434453,Revenue
2006,Natural Resources,4920673,Revenue
2011,Social Welfare,4905324,Expense
2013,Foreign Aid,23038109,Revenue
2003,Infrastructure,30065474,Expense
2019,Social Welfare,24389980,Expense
2021,Tax Revenue,46128989,Revenue
2018,Healthcare,5671942,Expense
2004,Tax Revenue,6321799,Revenue
2005,Foreign Aid,13753941,Revenue
2021,Healthcare,41455195,Expense
2016,Foreign Aid,28313965,Revenue
2005,Tax Revenue,14890339,Revenue
2021,Foreign Aid,1436238,Revenue
2000,Foreign Aid,35476916,Revenue
2022,Education,31545370,Expense
2006,Education,31313769,Expense
2018,Healthcare,17713526,Expense
2013,Foreign Aid,37660575,Revenue
2000,Education,4186156,Expense
2005,Infrastructure,20583881,Expense
2010,Defense,47620838,Expense
2005,Tax Revenue,20120994,Revenue
2020,Foreign Aid,26628980,Revenue
2007,Foreign Aid,14787761,Revenue
2000,Tax Revenue,21701916,Revenue
2012,Education,38168861,Expense
2010,Defense,23659916,Expense
2001,Healthcare,7264471,Expense
2014,Grants,24894774,Revenue
2013,Infrastructure,16893801,Expense
2006,Foreign Aid,7426628,Revenue
2003,Foreign Aid,36480221,Revenue
2008,Defense,38368138,Expense
2006,Social Welfare,42626515,Expense
2019,Natural Resources,21152862,Revenue
2001,Grants,31300867,Revenue
2008,Social Welfare,15879648,Expense
2000,Natural Resources,49684682,Revenue
2015,Infrastructure,35450672,Expense
2008,Tax Revenue,48857506,Revenue
2021,Defense,1629664,Expense
2012,Infrastructure,1638904,Expense
2012,Foreign Aid,48283716,Revenue
2015,Social Welfare,8507654,Expense
2013,Defense,48966158,Expense
2012,Foreign Aid,8395815,Revenue
2023,Social Welfare,44430995,Expense
2001,Natural Resources,8476397,Revenue
2012,Healthcare,18580819,Expense
2004,Grants,25130832,Revenue
2003,Healthcare,3052201,Expense
2023,Natural Resources,13873061,Revenue
2021,Natural Resources,49177041,Revenue
2010,Natural Resources,37623316,Revenue
2005,Social Welfare,17872535,Expense
2001,Natural Resources,45448091,Revenue
2013,Defense,41690216,Expense
2016,Healthcare,11891285,Expense
2003,Healthcare,20012800,Expense
2011,Infrastructure,4141154,Expense
2010,Natural Resources,24965887,Revenue
2018,Defense,26600476,Expense
2021,Natural Resources,26792103,Revenue
2013,Defense,14855693,Expense
2001,Natural Resources,42332904,Revenue
2001,Foreign Aid,6038222,Revenue
2004,Grants,29897747,Revenue
2022,Social Welfare,36420446,Expense
2021,Natural Resources,19575983,Revenue
2009,Tax Revenue,33300187,Revenue
2013,Healthcare,9358681,Expense
2002,Infrastructure,44425210,Expense
2021,Healthcare,21113678,Expense
2023,Infrastructure,23487167,Expense
2020,Tax Revenue,48950872,Revenue
2023,Infrastructure,28107403,Expense
2015,Tax Revenue,44481844,Revenue
2019,Social Welfare,46843142,Expense
2000,Defense,40409328,Expense
2019,Defense,25658824,Expense
2021,Tax Revenue,41668865,Revenue
2005,Education,32713723,Expense
2015,Healthcare,32763816,Expense
2006,Grants,36976882,Revenue
2009,Grants,44882206,Revenue
2002,Social Welfare,23765210,Expense
2020,Grants,6544885,Revenue
2012,Social Welfare,31953123,Expense
2021,Social Welfare,5005234,Expense
2020,Natural Resources,26555357,Revenue
2023,Tax Revenue,4591537,Revenue
2009,Defense,9196674,Expense
2007,Grants,43557797,Revenue
2023,Tax Revenue,41345275,Revenue
2007,Social Welfare,7580245,Expense
2023,Social Welfare,33762532,Expense
2003,Social Welfare,36934393,Expense
2023,Infrastructure,37756757,Expense
2009,Healthcare,9820038,Expense
2010,Education,43231212,Expense
2014,Foreign Aid,44222367,Revenue
2013,Grants,24288424,Revenue
2010,Tax Revenue,17389189,Revenue
2017,Defense,30913792,Expense
2014,Healthcare,17808620,Expense
2017,Social Welfare,41767550,Expense
2017,Education,42293371,Expense
2021,Social Welfare,28099814,Expense
2013,Tax Revenue,6161915,Revenue
2016,Tax Revenue,33002146,Revenue
2009,Healthcare,18704376,Expense
2012,Grants,47744856,Revenue
2017,Healthcare,20901532,Expense
2011,Foreign Aid,47208875,Revenue
2018,Social Welfare,16572883,Expense
2012,Education,22896384,Expense
2013,Defense,6422120,Expense
2007,Social Welfare,30755190,Expense
2015,Foreign Aid,24919337,Revenue
2008,Education,31644412,Expense
2003,Social Welfare,13447559,Expense
2007,Education,29193003,Expense
2001,Healthcare,32396995,Expense
2001,Social Welfare,7082369,Expense
2014,Defense,14445445,Expense
2013,Education,15868915,Expense
2002,Foreign Aid,28161405,Revenue
2009,Tax Revenue,18008529,Revenue
2005,Infrastructure,31765124,Expense
2016,Healthcare,2270464,Expense
2007,Natural Resources,40778757,Revenue
2010,Foreign Aid,46564403,Revenue
2013,Education,32412284,Expense
2015,Healthcare,48369470,Expense
2007,Defense,16938073,Expense
2020,Grants,14098997,Revenue
2003,Healthcare,1260165,Expense
2012,Natural Resources,37680388,Revenue
2014,Healthcare,29976703,Expense
2001,Grants,28204005,Revenue
2013,Infrastructure,9208614,Expense
2008,Natural Resources,18073781,Revenue
2010,Defense,1698175,Expense
2015,Tax Revenue,24516537,Revenue
2016,Education,40718085,Expense
2021,Healthcare,22100608,Expense
2011,Natural Resources,38262909,Revenue
2001,Tax Revenue,19803880,Revenue
2003,Social Welfare,30861477,Expense
2018,Foreign Aid,40996704,Revenue
2013,Natural Resources,21348597,Revenue
2016,Grants,19387617,Revenue
2021,Social Welfare,14798110,Expense
2016,Infrastructure,3188312,Expense
2018,Healthcare,24435534,Expense
2020,Defense,18683840,Expense
2004,Education,12478749,Expense
2008,Healthcare,30474780,Expense
2005,Education,1582543,Expense
2018,Healthcare,7161993,Expense
2004,Natural Resources,30421847,Revenue
2004,Infrastructure,20095892,Expense
2005,Grants,1521896,Revenue
2000,Healthcare,23352936,Expense
2003,Tax Revenue,44950156,Revenue
2014,Grants,45185888,Revenue
2010,Tax Revenue,41766324,Revenue
2005,Grants,16264367,Revenue
2014,Foreign Aid,14610886,Revenue
2007,Social Welfare,27728987,Expense
2011,Natural Resources,7738391,Revenue
2001,Education,26888623,Expense
2001,Education,40943153,Expense
2004,Tax Revenue,38257645,Revenue
2007,Social Welfare,48112516,Expense
2017,Grants,5249905,Revenue
2011,Healthcare,31229030,Expense
2017,Natural Resources,38619971,Revenue
2011,Foreign Aid,11145363,Revenue
2020,Grants,35855775,Revenue
2008,Foreign Aid,21172241,Revenue
2003,Natural Resources,39190767,Revenue
2015,Tax Revenue,6168867,Revenue
2019,Social Welfare,1532040,Expense
2017,Healthcare,45911694,Expense
2008,Defense,44128121,Expense
2021,Tax Revenue,31305348,Revenue
2018,Defense,14763340,Expense
2004,Grants,1460456,Revenue
2013,Natural Resources,33311313,Revenue
2001,Healthcare,22353030,Expense
2007,Social Welfare,47128176,Expense
2013,Healthcare,30537857,Expense
2018,Healthcare,30645882,Expense
2012,Grants,2126365,Revenue
2008,Social Welfare,35563461,Expense
2022,Defense,7776031,Expense
2016,Grants,7164040,Revenue
2013,Infrastructure,11088072,Expense
2016,Defense,18584081,Expense
2020,Foreign Aid,20049953,Revenue
2016,Defense,49828789,Expense
2016,Grants,9111559,Revenue
2015,Grants,2834542,Revenue
2000,Tax Revenue,42774508,Revenue
2023,Tax Revenue,7734695,Revenue
2018,Tax Revenue,1044789,Revenue
2011,Infrastructure,30171886,Expense
2011,Social Welfare,36467067,Expense
2017,Grants,18317674,Revenue
2010,Foreign Aid,32171314,Revenue
2002,Social Welfare,36599179,Expense
2001,Education,41635543,Expense
2020,Grants,8671158,Revenue
2002,Education,43828710,Expense
2007,Grants,24679517,Revenue
2003,Tax Revenue,3796407,Revenue
2022,Social Welfare,24332042,Expense
2023,Grants,27874111,Revenue
2023,Foreign Aid,36730367,Revenue
2008,Healthcare,13119381,Expense
2011,Grants,23547407,Revenue
2005,Education,36611221,Expense
2009,Grants,49574457,Revenue
2022,Social Welfare,39633970,Expense
2000,Infrastructure,6271279,Expense
2003,Tax Revenue,39004637,Revenue
2000,Natural Resources,9449568,Revenue
2000,Tax Revenue,6745279,Revenue
2009,Defense,5727306,Expense
2011,Education,27813952,Expense
2007,Tax Revenue,45197689,Revenue
2015,Education,48662400,Expense
2015,Defense,29199605,Expense
2001,Natural Resources,19185496,Revenue
2011,Social Welfare,28370222,Expense
2015,Tax Revenue,44488549,Revenue
2018,Infrastructure,5970939,Expense
2001,Infrastructure,1239698,Expense
2001,Tax Revenue,17737424,Revenue
2006,Social Welfare,46571527,Expense
2005,Education,35523508,Expense
2012,Tax Revenue,35806014,Revenue
2015,Grants,17045457,Revenue
2021,Infrastructure,45857355,Expense
2003,Foreign Aid,30352060,Revenue
2002,Defense,37177550,Expense
2018,Grants,15584096,Revenue
2003,Natural Resources,10706526,Revenue
2017,Social Welfare,47923134,Expense
2020,Tax Revenue,32177826,Revenue
2002,Defense,29774178,Expense
2006,Education,9040399,Expense
2005,Tax Revenue,24267895,Revenue
2023,Infrastructure,21154316,Expense
2009,Defense,49613775,Expense
2001,Infrastructure,49244380,Expense
2004,Social Welfare,3034898,Expense
2023,Natural Resources,22558320,Revenue
2001,Foreign Aid,46544149,Revenue
2007,Grants,26563923,Revenue
2013,Social Welfare,31920105,Expense
2009,Foreign Aid,26050891,Revenue
2023,Defense,10288910,Expense
2008,Tax Revenue,35502436,Revenue
2016,Infrastructure,23164757,Expense
2022,Education,42734241,Expense
2002,Social Welfare,31856644,Expense
2013,Natural Resources,22764065,Revenue
2002,Social Welfare,23286880,Expense
2011,Tax Revenue,23688061,Revenue
2009,Education,31500240,Expense
2004,Natural Resources,46695701,Revenue
2008,Defense,26265780,Expense
2008,Education,46426132,Expense
2011,Grants,15771335,Revenue
2003,Foreign Aid,11737892,Revenue
2010,Infrastructure,18401883,Expense
2008,Foreign Aid,39800076,Revenue
2017,Education,24510580,Expense
2009,Grants,46255435,Revenue
2017,Foreign Aid,31015925,Revenue
2020,Grants,33733505,Revenue
2023,Tax Revenue,35430883,Revenue
2007,Foreign Aid,11847446,Revenue
2005,Tax Revenue,38371888,Revenue
2005,Education,42425317,Expense
2012,Infrastructure,7251502,Expense
2022,Tax Revenue,40034699,Revenue
2001,Natural Resources,46398834,Revenue
2015,Social Welfare,17940211,Expense
2014,Foreign Aid,36810176,Revenue
2022,Foreign Aid,44988133,Revenue
2015,Defense,45040124,Expense
2022,Tax Revenue,27661140,Revenue
2023,Foreign Aid,40229279,Revenue
2023,Education,37602165,Expense
2021,Defense,9611341,Expense
2013,Education,39878331,Expense
2006,Social Welfare,10726584,Expense
2014,Foreign Aid,27944524,Revenue
2004,Foreign Aid,32097882,Revenue
2014,Social Welfare,37034632,Expense
2002,Tax Revenue,9452440,Revenue
2008,Natural Resources,7263175,Revenue
2003,Tax Revenue,18472722,Revenue
2007,Infrastructure,23610909,Expense
2020,Foreign Aid,42438136,Revenue
2009,Foreign Aid,34452911,Revenue
2016,Tax Revenue,39531634,Revenue
2009,Grants,44809259,Revenue
2015,Natural Resources,32443795,Revenue
2001,Foreign Aid,22193905,Revenue
2005,Defense,10328357,Expense
2000,Tax Revenue,6191826,Revenue
2003,Healthcare,38786908,Expense
2023,Grants,12843667,Revenue
2010,Social Welfare,34986807,Expense
2011,Education,40005845,Expense
2008,Infrastructure,33441603,Expense
2013,Tax Revenue,29494728,Revenue
2011,Infrastructure,11559610,Expense
2020,Defense,45226439,Expense
2013,Social Welfare,42394418,Expense
2015,Education,16644700,Expense
2003,Social Welfare,35495717,Expense
2019,Foreign Aid,36304286,Revenue
2007,Education,40965775,Expense
2023,Tax Revenue,27899787,Revenue
2009,Education,23172037,Expense
2006,Natural Resources,32718984,Revenue
2015,Grants,21170945,Revenue
2016,Infrastructure,32875123,Expense
2006,Tax Revenue,45634727,Revenue
2017,Tax Revenue,40623315,Revenue
2015,Defense,29475533,Expense
2015,Healthcare,31024734,Expense
2005,Foreign Aid,8671871,Revenue
2022,Healthcare,31880898,Expense
2020,Tax Revenue,13604430,Revenue
2008,Foreign Aid,1005808,Revenue
2017,Tax Revenue,13718869,Revenue
2011,Infrastructure,35835095,Expense
2013,Foreign Aid,38247064,Revenue
2000,Healthcare,8528192,Expense
2000,Education,37079843,Expense
2010,Tax Revenue,2866949,Revenue
2015,Social Welfare,34449816,Expense
2002,Defense,20504503,Expense
2007,Infrastructure,30090881,Expense
2016,Grants,40905455,Revenue
2023,Education,14142892,Expense
2007,Foreign Aid,37201884,Revenue
2013,Healthcare,49122006,Expense
2020,Grants,44944255,Revenue
2015,Foreign Aid,39444791,Revenue
2008,Healthcare,42975733,Expense
2011,Healthcare,35652786,Expense
2016,Foreign Aid,32726816,Revenue
2014,Defense,34291498,Expense
2019,Healthcare,3221598,Expense
2018,Foreign Aid,20929974,Revenue
2005,Foreign Aid,38960885,Revenue
2000,Defense,29509324,Expense
2016,Grants,9026340,Revenue
2023,Infrastructure,47666296,Expense
2021,Infrastructure,15992564,Expense
2021,Grants,44972797,Revenue
2013,Healthcare,10479608,Expense
2004,Social Welfare,39225371,Expense
